"","CowID","Cow.Birth.Date","Farm.Name","Farm.No","Cow.Breed","Cow.Exit.Date","BS.DATE","BS.Month","BS.MS.Date.Difference","BS.DIM","Hapto.Result","Hapto.Log","Hapto.0.1","Hapto0.35","Hapto.HML","Hapto.HL","BS.NEFA","BS.BHBA","MS.Date.Taken","MS.Time.Taken","Calving.Date","Calving.No","Hfr.or.Cow","MS.DIM","MS.Date.Analyzed","Milk.Yield","MS.Milk.Yield","MS.Fat","MS.Protein","MS.S.Cell.Count","MS.Lactose","MS.Urea","MS.pH","MS.Acetone","MS.BHBA","MS.NEFA","MS.NSFA","MS.MFA","MS.PFA","MS.SFA","MS.Palmeic","MS.Stearine","MS.Oleic","CE.Date","CE.Temp","CE.Environ.Temp","CE.Fat.Level","CE.Skin.Dehydration","CE.Stom.Tension","CE.Stom.Layering","CE.Stom.Fluid.Movement","CE.Stom.Ping","CE.Stom.Fullness","CE.Stom.Noise.Freq","CE.Waste.Consistency","CE.Waste.Digestion","CE.Locomotion.Score","CE.Lame","BS.NEFA.Log","BS.BHBA.Log","MS.S.Cell.Count.Log","MS.BHBA.Log","MS.Acetone.Log","BS.NEFA.0.7","BS.BHBA.1.2","Hapto0.35.2","BS.Month2","BS.Month_warm","CE.Stom.Fullness01","CE.Stom.Tension01"
"394","276000947493827",2012-12-12,"Landmann","19174113184","01",NA,2018-11-27,"11-2018",0,28,280,5.63478960316925,"0","0","0","1",0.2,0.85,2018-11-27,"00:00:00",2018-10-30,4,"cow",28,2018-11-28,38.3,13.9,4.05,3.24,736,4.96,15.1,6.69,60,80,8.6,14.3,1.176,0.14,2.423,1.108,0.429,1.03,2018-11-27,38.1,10,13,"phy","phy","1","re","obb","abnorm","phy","thick","gut","1","0",-1.6094379124341,-0.162518929497775,6.60123011872888,4.38202663467388,4.0943445622221,"0","0","0","11-2018","0","1","0"
"395","276000951236430",2016-01-30,"Landmann","19174113184","01",NA,2018-08-28,"08-2018",0,10,137350,11.8302876915234,"1","1","2","3",0.42,0.57,2018-08-28,"00:00:00",2018-08-18,1,"hfr",10,2018-08-29,NA,6.6,7.53,3.69,212,4.29,46.1,6.39,1490,300,8.6,38.7,3.277,0.291,3.759,1.226,1.055,3.227,2018-08-28,38.8,25.7,25,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","1","0",-0.867500567704723,-0.562118918153541,5.35658627467201,5.7037824746562,7.30653139893951,"0","0","1","08-2018","1","1","0"
"396","276000949220059",2014-03-10,"Landmann","19174113184","01",NA,2018-10-30,"10-2018",0,19,830450,13.6297230015271,"1","1","2","3",1.04,0.51,2018-10-30,"12:00:00",2018-10-11,3,"cow",19,2018-11-02,21.4,8,4.91,3.19,286,5.02,23.4,6.63,110,70,1.24,20.4,1.759,0.203,2.694,1.187,0.677,1.6,2018-10-30,39.4,15.8,8,"red","erh","1","obb","obb","norm","bis_2","thick","gut","4","1",0.0392207131532813,-0.673344553263766,5.65599181081985,4.24849524204936,4.70048036579242,"1","0","1","10-2018","0","0","1"
"397","276000951236377",2015-10-26,"Landmann","19174113184","01",NA,2018-07-03,"07-2018",0,17,963300,13.7781201687457,"1","1","2","3",1.16,1.04,2018-07-03,"00:00:00",2018-06-16,1,"hfr",17,2018-07-05,42.8,12.1,7.33,3.03,185,4.98,42.1,6.6,420,170,7.5,36.2,3.082,0.303,3.759,1.413,1.029,2.958,2018-07-03,38.7,25,20,"phy","phy","1","obb","obb","norm",NA,"norm","maess","2","0",0.148420005118273,0.0392207131532813,5.22035582507832,5.13579843705026,6.04025471127741,"1","0","1","07-2018","1","0","0"
"398","276000951236377",2015-10-26,"Landmann","19174113184","01",NA,2018-07-10,"07-2018",0,24,10317,9.24154829910038,"1","1","1","NA",0.87,0.98,2018-07-10,"00:00:00",2018-06-16,1,"hfr",24,2018-07-11,30.8,18.2,4.34,3.16,327,5.04,31.9,6.64,90,60,7.8,17,1.424,0.171,2.489,1.103,0.535,1.32,2018-07-10,38.6,22.1,18,"phy","phy","1","obb","obb","norm",NA,"norm","maess","2","0",-0.139262067333508,-0.0202027073175195,5.78996017089725,4.0943445622221,4.49980967033027,"1","0","1","07-2018","1","0","0"
"399","276000944653557",2010-03-15,"Landmann","19174113184","01",NA,2018-08-14,"08-2018",0,10,466.5,6.1452580202874,"0","0","0","1",0.65,0.62,2018-08-14,"00:00:00",2018-08-04,7,"cow",10,2018-08-16,29.1,8.2,4.42,3.62,280,4.74,31.8,6.6,70,50,7.8,17.1,1.369,0.177,2.541,0.928,0.523,1.31,2018-08-14,38.2,25.6,13,"phy","phy","1","obb","obb","norm",NA,"norm","gut","3","1",-0.430782916092454,-0.478035800943,5.63478960316925,3.91202300542815,4.24849524204936,"0","0","0","08-2018","1","0","0"
"400","276000951236408",2015-12-22,"Landmann","19174113184","01",NA,2018-09-25,"09-2018",0,17,395440,12.8877543479808,"1","1","2","3",0.69,0.9,2018-09-25,"00:00:00",2018-09-08,1,"hfr",17,2018-09-26,NA,13.1,5.17,3.11,98,4.93,22.6,6.67,230,110,9.1,25.2,2.178,0.209,2.541,0.928,0.698,2.075,2018-09-25,38.7,22.3,30,"phy","erh","1","obb","obb","abnorm","phy","thick","maess","3","1",-0.371063681390832,-0.105360515657826,4.58496747867057,4.70048036579242,5.4380793089232,"0","0","1","09-2018","1","1","1"
"401","276000951236409",2015-12-22,"Landmann","19174113184","01",2018-10-04,2018-06-26,"06-2018",0,14,889.5,6.79065950710589,"0","0","0","1",1.03,1.53,2018-06-26,"00:00:00",2018-06-12,1,"hfr",14,2018-06-27,NA,11,6.38,2.92,97,4.62,41.2,6.61,260,170,8.4,29.8,2.588,0.272,3.358,1.222,0.843,2.471,2018-06-26,39.3,23.5,23,"phy","phy","1","obb","obb","norm",NA,"norm","gut","3","1",0.0295588022415444,0.425267735404344,4.57471097850338,5.13579843705026,5.56068163101553,"1","1","0","06-2018","0","0","0"
"402","276000949220025",2013-12-21,"Landmann","19174113184","01",NA,2018-09-18,"09-2018",0,13,280,5.63478960316925,"0","0","0","1",0.69,0.8,2018-09-18,"00:00:00",2018-09-05,3,"cow",13,2018-09-19,42.1,14.2,4.62,3.88,110,4.59,29,6.5,100,70,9,16.3,1.295,0.157,2.783,1.009,0.553,1.27,2018-09-18,38.7,27.7,20,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","1","0",-0.371063681390832,-0.22314355131421,4.70048036579242,4.24849524204936,4.60517018598809,"0","0","0","09-2018","1","1","0"
"403","276000949220025",2013-12-21,"Landmann","19174113184","01",NA,2018-09-25,"09-2018",0,20,1127.5,7.02775807137683,"1","0","0","1",0.87,1.5,2018-09-25,"00:00:00",2018-09-05,3,"cow",20,2018-09-26,29.1,13.8,4.56,3.34,63,4.74,25.3,6.57,120,80,1.04,17.2,1.412,0.162,2.621,1,0.541,1.347,2018-09-25,38.4,14.6,17,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","3","1",-0.139262067333508,0.405465108108164,4.14313472639153,4.38202663467388,4.78749174278205,"1","1","0","09-2018","1","1","0"
"404","276000949220025",2013-12-21,"Landmann","19174113184","01",NA,2018-10-02,"10-2018",0,27,7621,8.93866287366612,"1","1","1","NA",0.54,0.82,2018-10-02,"12:00:00",2018-09-05,3,"cow",27,2018-10-04,35.6,19.1,4.52,3,92,4.72,20.8,6.61,90,80,1.14,18.5,1.532,0.166,2.488,0.98,0.555,1.463,2018-10-02,38.5,13,19,"phy","phy","1","obb","obb","norm",NA,"norm","gut","3","1",-0.616186139423817,-0.198450938723838,4.52178857704904,4.38202663467388,4.49980967033027,"0","0","1","10-2018","0","0","0"
"405","276000948483613",2013-04-08,"Landmann","19174113184","01",NA,2018-11-20,"11-2018",0,10,1740.5,7.46192770725149,"1","0","0","1",0.62,1.22,2018-11-20,"12:00:00",2018-11-10,4,"cow",10,2018-11-21,27.2,10.9,7.08,3.87,111,4.67,24.7,6.7,240,130,NA,26.3,2.151,0.226,4.375,1.643,0.826,2.115,2018-11-20,39.9,9.9,50,"phy","phy","1","obb","obb","abnorm",NA,"norm","gut","1","0",-0.478035800943,0.198850858745165,4.70953020131233,4.86753445045558,5.48063892334199,"0","1","0","11-2018","0","1","0"
